1,1,SAPTEC,90,2014-02-17
2,1,ADM315,88,2014-02-17
3,1,ABAP SILVER,96,2014-03-10
4,1,HANA L1,73,2014-06-06
5,2,SAPTEC,90,2014-02-17
6,2,ADM315,95,2014-02-17
7,2,ABAP SILVER,80,2014-03-10
8,2,HANA L1,80,2014-06-06
9,3,SAPTEC,60,2014-02-17
10,3,SAPTEC,83,2014-02-17
11,3,ADM315,50,2014-02-17
12,3,ADM315,65,2014-02-17
13,3,ADM315,73,2014-02-17
14,3,HANA L1,35,2014-06-06
15,3,ABAP SILVER,42,2014-03-10
16,3,ABAP SILVER,15,2014-03-10
17,3,ABAP SILVER,96,2014-03-10
18,4,SAPTEC,83,2014-02-17
19,4,ADM315,85,2014-02-17
20,4,HANA L1,70,2014-06-06
21,4,ABAP SILVER,43,2014-03-10
22,4,ABAP SILVER,70,2014-03-10
23,5,SAPTEC,93,2014-02-17
24,5,ADM315,95,2014-02-17
25,5,HANA L1,85,2014-06-06
26,5,ABAP SILVER,65,2014-03-10
27,5,ABAP SILVER,85,2014-03-10
28,6,SAPTEC,73,2014-02-17
29,6,ADM315,78,2014-02-17
30,6,ABAP SILVER,63,2014-03-10
31,7,SAPTEC,73,2014-02-17
32,7,ADM315,58,2014-02-17
33,7,ABAP SILVER,70,2014-03-10
34,8,SAPTEC,70,2014-02-17
35,8,ADM315,78,2014-02-17
36,9,SAPTEC,68,2014-02-17
37,9,ADM315,63,2014-02-17
38,9,ABAP SILVER,70,2014-03-10
39,10,SAPTEC,88,2014-02-17
40,10,ADM315,90,2014-02-17
41,10,ABAP SILVER,89,2014-03-10
42,10,HANA L1,73,2014-06-06
43,11,SAPTEC,55,2014-02-17
44,11,SAPTEC,65,2014-02-17
45,11,SAPTEC,85,2014-02-17
46,11,ADM315,70,2014-02-17
47,11,ABAP SILVER,76,2014-03-10
48,11,HANA L1,43,2014-06-02
49,11,HANA L1,50,2014-06-02
50,12,SAPTEC,63,2014-02-17
51,12,SAPTEC,58,2014-02-17
52,12,SAPTEC,93,2014-02-17
53,12,ADM315,55,2014-02-17
54,12,ADM315,60,2014-02-17
55,12,ADM315,68,2014-02-17
56,12,ADM315,75,2014-02-17
57,12,ABAP SILVER,83,2014-03-10
58,12,HANA L1,60,2014-06-02
59,12,HANA L1,75,2014-06-02
60,13,SAPTEC,88,2014-02-17
61,13,ADM315,80,2014-02-17
62,13,ABAP SILVER,84,2014-03-10
63,13,HANA L1,73,2014-06-02
64,14,SAPTEC,83,2014-02-17
65,14,ADM315,95,2014-02-17
66,14,ABAP SILVER,91,2014-03-10
67,14,HANA L1,63,2014-06-02
68,14,HANA L1,88,2014-06-02
69,15,SAPTEC,73,2014-02-17
70,15,ADM315,73,2014-02-17
71,15,ABAP SILVER,48,2014-03-10
72,15,ABAP SILVER,73,2014-03-10
73,15,HANA L1,55,2014-06-02
74,15,HANA L1,80,2014-06-02
75,16,SAPTEC,70,2014-04-28
76,16,ADM315,78,2014-04-28
77,16,ABAP SILVER,70,2014-06-02
78,17,SAPTEC,78,2014-04-28
79,17,ADM315,90,2014-04-28
80,17,ABAP SILVER,45,2014-06-02
81,18,SAPTEC,88,2014-04-28
82,18,ADM315,83,2014-04-28
83,18,ABAP SILVER,68,2014-06-02
84,19,SAPTEC,63,2014-04-28
85,19,ADM315,93,2014-04-28
86,19,ABAP SILVER,83,2014-06-02
87,20,SAPTEC,78,2014-04-28
88,20,ADM315,75,2014-04-28
89,20,ABAP SILVER,75,2014-06-02
90,21,SAPTEC,70,2014-04-28
91,21,ADM315,85,2014-04-28
92,21,ABAP SILVER,93,2014-06-02
93,22,SAPTEC,88,2014-04-28
94,22,ADM315,85,2014-04-28
95,22,ABAP SILVER,78,2014-06-02
96,23,SAPTEC,80,2014-04-28
97,23,ADM315,88,2014-04-28
98,23,HANA L1,65,2014-06-06
99,23,HANA L1,83,2014-06-06
100,24,SAPTEC,93,2014-03-10
101,24,ADM315,75,2014-03-10
102,24,ABAP SILVER,63,2014-03-31
103,24,ABAP SILVER,70,2014-03-31
104,24,HANA L1,80,2014-06-02
105,25,SAPTEC,68,2014-03-10
106,25,SAPTEC,85,2014-03-10
107,25,ADM315,65,2014-03-10
108,25,ADM315,83,2014-03-10
109,25,ABAP SILVER,30,2014-03-31
110,25,ABAP SILVER,78,2014-03-31
111,26,SAPTEC,80,2014-03-10
112,26,ADM315,98,2014-03-10
113,26,ABAP SILVER,38,2014-03-31
114,26,ABAP SILVER,60,2014-03-31
115,26,ABAP SILVER,83,2014-03-31
116,27,SAPTEC,75,2014-03-10
117,27,ADM315,88,2014-03-10
118,27,ABAP SILVER,45,2014-03-31
119,27,ABAP SILVER,85,2014-03-31
120,28,SAPTEC,90,2014-03-10
121,28,ADM315,80,2014-03-10
122,28,ABAP SILVER,60,2014-03-31
123,28,ABAP SILVER,73,2014-03-31
124,28,HANA L1,75,2014-06-02
125,29,SAPTEC,55,2014-03-10
126,29,SAPTEC,70,2014-03-10
127,29,ADM315,63,2014-03-10
128,29,ADM315,58,2014-03-10
129,29,ADM315,70,2014-03-10
130,29,ABAP SILVER,23,2014-03-31
131,29,ABAP SILVER,65,2014-03-31
132,30,SAPTEC,95,2014-03-10
133,30,ADM315,95,2014-03-10
134,30,ABAP SILVER,63,2014-03-31
135,30,ABAP SILVER,83,2014-03-31
136,30,HANA L1,80,2014-06-02
137,31,SAPTEC,80,2014-03-10
138,32,SAPTEC,83,2014-03-10
139,33,SAPTEC,83,2014-03-10
140,34,SAPTEC,80,2014-03-10
141,35,SAPTEC,80,2014-03-10
142,36,SAPTEC,85,2014-03-10
143,37,SAPTEC,68,2014-05-31
144,38,SAPTEC,78,2014-05-31
145,39,SAPTEC,80,2014-05-31
146,40,SAPTEC,65,2014-05-31
147,31,ADM315,85,2014-03-10
148,32,ADM315,93,2014-03-10
149,33,ADM315,88,2014-03-10
150,34,ADM315,80,2014-03-10
151,35,ADM315,80,2014-03-10
152,36,ADM315,93,2014-03-10
153,37,ADM315,70,2014-05-31
154,38,ADM315,60,2014-05-31
155,39,ADM315,78,2014-05-31
156,40,ADM315,78,2014-05-31
157,31,ABAP SILVER,73,2014-03-31
158,31,ABAP SILVER,45,2014-03-31
159,32,ABAP SILVER,75,2014-03-31
160,33,ABAP SILVER,63,2014-03-31
161,33,ABAP SILVER,80,2014-03-31
162,34,ABAP SILVER,65,2014-03-31
163,34,ABAP SILVER,80,2014-03-31
164,35,ABAP SILVER,38,2014-03-31
165,35,ABAP SILVER,58,2014-03-31
166,35,ABAP SILVER,80,2014-03-31
167,36,ABAP SILVER,70,2014-03-31
168,37,ABAP SILVER,65,2014-05-31
169,38,ABAP SILVER,68,2014-05-31
170,39,ABAP SILVER,55,2014-05-31
171,40,ABAP SILVER,63,2014-05-31
172,31,HANA L1,60,2014-06-02
173,31,HANA L1,75,2014-06-02
174,32,HANA L1,75,2014-06-02
175,33,HANA L1,75,2014-06-02
176,34,HANA L1,75,2014-06-02
177,36,HANA L1,78,2014-06-02
178,36,HANA L1,63,2014-06-02
179,40,HANA L1,78,2014-06-02
180,20,HANA L1,65,2014-08-19
181,21,HANA L1,60,2014-08-19
182,37,SAPTEC,85,2014-08-19
183,37,ABAP SILVER,70,2014-08-19
184,38,ADM315,78,2014-08-19
185,38,HANA L1,40,2014-08-19
186,38,ABAP SILVER,88,2014-08-19
187,39,ABAP SILVER,70,2014-08-19
188,40,SAPTEC,75,2014-08-19
189,40,ABAP SILVER,78,2014-08-19
